capability,task_shape,count
coding,debugging,30
coding,decision,8
coding,implementation,5
instruction_following,decision,1
instruction_following,direct_answer,60
instruction_following,explanation,4
instruction_following,extraction_transformation,27
instruction_following,rewrite,9
knowledge_qa,decision,1
knowledge_qa,direct_answer,25
knowledge_qa,explanation,2
reasoning,comparison,3
reasoning,debugging,1
reasoning,decision,24
reasoning,direct_answer,8
reasoning,explanation,19
reasoning,planning,1
summarization_transformation,direct_answer,1
summarization_transformation,extraction_transformation,10
summarization_transformation,rewrite,12
tool_use,debugging,5
tool_use,decision,19
tool_use,direct_answer,3
tool_use,explanation,2
tool_use,planning,4
